,observer_cond,demonstrator_cond,teacher_id,trialnum,grid,tf,response,confidence,video_plays,correct,correct_confidence,incorrect_confidence,learner_id
54,do,show,GKX6rozI,14,SWN,S,W,23,2,False,,23.0,CmFrQijkfkjDrnU
55,do,show,GKX6rozI,15,NWS,W,W,76,1,True,76.0,,CmFrQijkfkjDrnU
56,do,show,GKX6rozI,2,WNS,S,S,73,1,True,73.0,,CmFrQijkfkjDrnU
57,do,show,GKX6rozI,3,WNW,W,W,33,1,True,33.0,,CmFrQijkfkjDrnU
58,do,show,GKX6rozI,4,NSW,S,S,83,1,True,83.0,,CmFrQijkfkjDrnU
59,do,show,GKX6rozI,5,WNS,W,W,68,2,True,68.0,,CmFrQijkfkjDrnU
60,do,show,GKX6rozI,6,SNW,S,S,77,2,True,77.0,,CmFrQijkfkjDrnU
61,do,show,GKX6rozI,7,WNW,S,S,79,6,True,79.0,,CmFrQijkfkjDrnU
62,do,show,GKX6rozI,8,SWN,W,W,20,2,True,20.0,,CmFrQijkfkjDrnU
63,do,show,GKX6rozI,9,NSW,W,W,87,1,True,87.0,,CmFrQijkfkjDrnU
64,show,show,cFx0crqu,0,NWS,W,W,100,1,True,100.0,,DEExieXZdyywNfM
65,show,show,cFx0crqu,1,SWN,S,S,100,1,True,100.0,,DEExieXZdyywNfM
66,show,show,cFx0crqu,10,WNS,W,S,49,2,False,,49.0,DEExieXZdyywNfM
67,show,show,cFx0crqu,11,NSW,S,S,62,1,True,62.0,,DEExieXZdyywNfM
68,show,show,cFx0crqu,12,WNW,W,W,63,1,True,63.0,,DEExieXZdyywNfM
69,show,show,cFx0crqu,13,WNS,S,S,61,2,True,61.0,,DEExieXZdyywNfM
70,show,show,cFx0crqu,14,WSN,W,W,71,2,True,71.0,,DEExieXZdyywNfM
71,show,show,cFx0crqu,15,WSN,S,S,68,1,True,68.0,,DEExieXZdyywNfM
72,show,show,cFx0crqu,2,SNW,W,W,91,1,True,91.0,,DEExieXZdyywNfM
73,show,show,cFx0crqu,3,NWS,S,W,75,1,False,,75.0,DEExieXZdyywNfM
74,show,show,cFx0crqu,4,SNS,W,W,77,2,True,77.0,,DEExieXZdyywNfM
75,show,show,cFx0crqu,5,SNS,S,S,59,1,True,59.0,,DEExieXZdyywNfM
76,show,show,cFx0crqu,6,NSW,W,W,63,1,True,63.0,,DEExieXZdyywNfM
77,show,show,cFx0crqu,7,SWN,W,S,88,1,False,,88.0,DEExieXZdyywNfM
78,show,show,cFx0crqu,8,WNW,S,S,76,1,True,76.0,,DEExieXZdyywNfM
79,show,show,cFx0crqu,9,SNW,S,S,66,1,True,66.0,,DEExieXZdyywNfM
80,show,show,cFx0crqu,0,NWS,W,W,67,3,True,67.0,,VgJcxZFvkDMCtfP
81,show,show,cFx0crqu,1,SWN,S,S,89,2,True,89.0,,VgJcxZFvkDMCtfP
82,show,show,cFx0crqu,10,WNS,W,W,77,1,True,77.0,,VgJcxZFvkDMCtfP
83,show,show,cFx0crqu,11,NSW,S,S,82,1,True,82.0,,VgJcxZFvkDMCtfP
84,show,show,cFx0crqu,12,WNW,W,S,91,1,False,,91.0,VgJcxZFvkDMCtfP
85,show,show,cFx0crqu,13,WNS,S,S,86,1,True,86.0,,VgJcxZFvkDMCtfP
86,show,show,cFx0crqu,14,WSN,W,S,74,1,False,,74.0,VgJcxZFvkDMCtfP
87,show,show,cFx0crqu,15,WSN,S,S,90,1,True,90.0,,VgJcxZFvkDMCtfP
88,show,show,cFx0crqu,2,SNW,W,W,81,1,True,81.0,,VgJcxZFvkDMCtfP
89,show,show,cFx0crqu,3,NWS,S,W,69,1,False,,69.0,VgJcxZFvkDMCtfP
90,show,show,cFx0crqu,4,SNS,W,W,72,1,True,72.0,,VgJcxZFvkDMCtfP
91,show,show,cFx0crqu,5,SNS,S,S,81,1,True,81.0,,VgJcxZFvkDMCtfP
92,show,show,cFx0crqu,6,NSW,W,W,80,1,True,80.0,,VgJcxZFvkDMCtfP
93,show,show,cFx0crqu,7,SWN,W,S,64,1,False,,64.0,VgJcxZFvkDMCtfP
94,show,show,cFx0crqu,8,WNW,S,S,97,1,True,97.0,,VgJcxZFvkDMCtfP
95,show,show,cFx0crqu,9,SNW,S,S,77,1,True,77.0,,VgJcxZFvkDMCtfP
96,do,show,cFx0crqu,0,NWS,W,W,100,1,True,100.0,,DGQwhOgMdQEavVM
97,do,show,cFx0crqu,1,SWN,S,S,100,1,True,100.0,,DGQwhOgMdQEavVM
98,do,show,cFx0crqu,10,WNS,W,W,100,1,True,100.0,,DGQwhOgMdQEavVM
99,do,show,cFx0crqu,11,NSW,S,S,100,1,True,100.0,,DGQwhOgMdQEavVM
100,do,show,cFx0crqu,12,WNW,W,S,30,1,False,,30.0,DGQwhOgMdQEavVM
101,do,show,cFx0crqu,13,WNS,S,S,100,1,True,100.0,,DGQwhOgMdQEavVM
102,do,show,cFx0crqu,14,WSN,W,W,100,1,True,100.0,,DGQwhOgMdQEavVM
103,do,show,cFx0crqu,15,WSN,S,S,100,1,True,100.0,,DGQwhOgMdQEavVM
104,do,show,cFx0crqu,2,SNW,W,W,100,1,True,100.0,,DGQwhOgMdQEavVM
105,do,show,cFx0crqu,3,NWS,S,W,100,1,False,,100.0,DGQwhOgMdQEavVM
106,do,show,cFx0crqu,4,SNS,W,W,100,1,True,100.0,,DGQwhOgMdQEavVM
107,do,show,cFx0crqu,5,SNS,S,W,46,2,False,,46.0,DGQwhOgMdQEavVM
108,do,show,cFx0crqu,6,NSW,W,W,100,1,True,100.0,,DGQwhOgMdQEavVM
109,do,show,cFx0crqu,7,SWN,W,S,99,2,False,,99.0,DGQwhOgMdQEavVM
110,do,show,cFx0crqu,8,WNW,S,S,100,1,True,100.0,,DGQwhOgMdQEavVM
111,do,show,cFx0crqu,9,SNW,S,S,100,1,True,100.0,,DGQwhOgMdQEavVM
112,do,show,cFx0crqu,0,NWS,W,W,100,1,True,100.0,,hjzZFEYHKsnqKDL
113,do,show,cFx0crqu,1,SWN,S,S,100,1,True,100.0,,hjzZFEYHKsnqKDL
114,do,show,cFx0crqu,10,WNS,W,W,100,1,True,100.0,,hjzZFEYHKsnqKDL
115,do,show,cFx0crqu,11,NSW,S,S,100,1,True,100.0,,hjzZFEYHKsnqKDL
116,do,show,cFx0crqu,12,WNW,W,S,100,1,False,,100.0,hjzZFEYHKsnqKDL
117,do,show,cFx0crqu,13,WNS,S,S,100,1,True,100.0,,hjzZFEYHKsnqKDL
118,do,show,cFx0crqu,14,WSN,W,S,100,2,False,,100.0,hjzZFEYHKsnqKDL
119,do,show,cFx0crqu,15,WSN,S,S,100,1,True,100.0,,hjzZFEYHKsnqKDL
120,do,show,cFx0crqu,2,SNW,W,W,98,1,True,98.0,,hjzZFEYHKsnqKDL
121,do,show,cFx0crqu,3,NWS,S,W,100,1,False,,100.0,hjzZFEYHKsnqKDL
122,do,show,cFx0crqu,4,SNS,W,W,100,1,True,100.0,,hjzZFEYHKsnqKDL
123,do,show,cFx0crqu,5,SNS,S,W,100,1,False,,100.0,hjzZFEYHKsnqKDL
124,do,show,cFx0crqu,6,NSW,W,W,100,1,True,100.0,,hjzZFEYHKsnqKDL
125,do,show,cFx0crqu,7,SWN,W,S,100,1,False,,100.0,hjzZFEYHKsnqKDL
126,do,show,cFx0crqu,8,WNW,S,W,100,1,False,,100.0,hjzZFEYHKsnqKDL
127,do,show,cFx0crqu,9,SNW,S,S,100,1,True,100.0,,hjzZFEYHKsnqKDL
128,show,do,GV8eZkGg,0,WSN,S,S,85,1,True,85.0,,cWkEfJepgXRNvEh
129,show,do,GV8eZkGg,1,WSN,W,W,85,1,True,85.0,,cWkEfJepgXRNvEh
130,show,do,GV8eZkGg,10,SNS,S,W,86,1,False,,86.0,cWkEfJepgXRNvEh
131,show,do,GV8eZkGg,11,SNS,W,W,70,1,True,70.0,,cWkEfJepgXRNvEh
132,show,do,GV8eZkGg,12,NWS,S,W,92,1,False,,92.0,cWkEfJepgXRNvEh
133,show,do,GV8eZkGg,13,SNW,W,W,81,1,True,81.0,,cWkEfJepgXRNvEh
134,show,do,GV8eZkGg,14,SWN,S,S,77,1,True,77.0,,cWkEfJepgXRNvEh
135,show,do,GV8eZkGg,15,NWS,W,W,76,1,True,76.0,,cWkEfJepgXRNvEh
136,show,do,GV8eZkGg,2,WNS,S,S,72,1,True,72.0,,cWkEfJepgXRNvEh
137,show,do,GV8eZkGg,3,WNW,W,S,85,1,False,,85.0,cWkEfJepgXRNvEh
138,show,do,GV8eZkGg,4,NSW,S,S,88,1,True,88.0,,cWkEfJepgXRNvEh
139,show,do,GV8eZkGg,5,WNS,W,W,77,1,True,77.0,,cWkEfJepgXRNvEh
140,show,do,GV8eZkGg,6,SNW,S,S,70,1,True,70.0,,cWkEfJepgXRNvEh
141,show,do,GV8eZkGg,7,WNW,S,W,79,1,False,,79.0,cWkEfJepgXRNvEh
142,show,do,GV8eZkGg,8,SWN,W,S,73,1,False,,73.0,cWkEfJepgXRNvEh
143,show,do,GV8eZkGg,9,NSW,W,W,85,1,True,85.0,,cWkEfJepgXRNvEh
144,do,do,GV8eZkGg,0,WSN,S,S,92,1,True,92.0,,ptrElhfOsFAdEag
145,do,do,GV8eZkGg,1,WSN,W,S,98,1,False,,98.0,ptrElhfOsFAdEag
146,do,do,GV8eZkGg,10,SNS,S,W,63,1,False,,63.0,ptrElhfOsFAdEag
147,do,do,GV8eZkGg,11,SNS,W,W,71,1,True,71.0,,ptrElhfOsFAdEag
148,do,do,GV8eZkGg,12,NWS,S,W,76,1,False,,76.0,ptrElhfOsFAdEag
149,do,do,GV8eZkGg,13,SNW,W,W,73,1,True,73.0,,ptrElhfOsFAdEag
150,do,do,GV8eZkGg,14,SWN,S,W,74,1,False,,74.0,ptrElhfOsFAdEag
151,do,do,GV8eZkGg,15,NWS,W,W,85,1,True,85.0,,ptrElhfOsFAdEag
152,do,do,GV8eZkGg,2,WNS,S,S,77,1,True,77.0,,ptrElhfOsFAdEag
153,do,do,GV8eZkGg,3,WNW,W,S,87,1,False,,87.0,ptrElhfOsFAdEag
154,do,do,GV8eZkGg,4,NSW,S,S,72,1,True,72.0,,ptrElhfOsFAdEag
155,do,do,GV8eZkGg,5,WNS,W,W,95,1,True,95.0,,ptrElhfOsFAdEag
156,do,do,GV8eZkGg,6,SNW,S,S,89,1,True,89.0,,ptrElhfOsFAdEag
157,do,do,GV8eZkGg,7,WNW,S,W,76,1,False,,76.0,ptrElhfOsFAdEag
158,do,do,GV8eZkGg,8,SWN,W,W,80,1,True,80.0,,ptrElhfOsFAdEag
159,do,do,GV8eZkGg,9,NSW,W,W,63,1,True,63.0,,ptrElhfOsFAdEag
160,do,do,GV8eZkGg,0,WSN,S,S,71,1,True,71.0,,EfvTmYfkxEJnhKd
161,do,do,GV8eZkGg,1,WSN,W,W,57,1,True,57.0,,EfvTmYfkxEJnhKd
162,do,do,GV8eZkGg,10,SNS,S,W,75,1,False,,75.0,EfvTmYfkxEJnhKd
163,do,do,GV8eZkGg,11,SNS,W,W,77,1,True,77.0,,EfvTmYfkxEJnhKd
164,do,do,GV8eZkGg,12,NWS,S,W,73,1,False,,73.0,EfvTmYfkxEJnhKd
165,do,do,GV8eZkGg,13,SNW,W,W,70,1,True,70.0,,EfvTmYfkxEJnhKd
166,do,do,GV8eZkGg,14,SWN,S,W,64,2,False,,64.0,EfvTmYfkxEJnhKd
167,do,do,GV8eZkGg,15,NWS,W,W,74,1,True,74.0,,EfvTmYfkxEJnhKd
168,do,do,GV8eZkGg,2,WNS,S,S,55,1,True,55.0,,EfvTmYfkxEJnhKd
169,do,do,GV8eZkGg,3,WNW,W,S,69,1,False,,69.0,EfvTmYfkxEJnhKd
170,do,do,GV8eZkGg,4,NSW,S,S,65,1,True,65.0,,EfvTmYfkxEJnhKd
171,do,do,GV8eZkGg,5,WNS,W,W,65,1,True,65.0,,EfvTmYfkxEJnhKd
172,do,do,GV8eZkGg,6,SNW,S,S,74,1,True,74.0,,EfvTmYfkxEJnhKd
173,do,do,GV8eZkGg,7,WNW,S,W,66,1,False,,66.0,EfvTmYfkxEJnhKd
174,do,do,GV8eZkGg,8,SWN,W,S,70,1,False,,70.0,EfvTmYfkxEJnhKd
175,do,do,GV8eZkGg,9,NSW,W,W,100,1,True,100.0,,EfvTmYfkxEJnhKd
176,show,do,GV8eZkGg,0,WSN,S,S,85,1,True,85.0,,GguqJOCCLWydvLM
177,show,do,GV8eZkGg,1,WSN,W,W,66,1,True,66.0,,GguqJOCCLWydvLM
178,show,do,GV8eZkGg,10,SNS,S,W,63,1,False,,63.0,GguqJOCCLWydvLM
179,show,do,GV8eZkGg,11,SNS,W,W,49,1,True,49.0,,GguqJOCCLWydvLM
180,show,do,GV8eZkGg,12,NWS,S,W,83,1,False,,83.0,GguqJOCCLWydvLM
181,show,do,GV8eZkGg,13,SNW,W,W,55,1,True,55.0,,GguqJOCCLWydvLM
182,show,do,GV8eZkGg,14,SWN,S,S,24,1,True,24.0,,GguqJOCCLWydvLM
183,show,do,GV8eZkGg,15,NWS,W,W,85,1,True,85.0,,GguqJOCCLWydvLM
184,show,do,GV8eZkGg,2,WNS,S,S,53,1,True,53.0,,GguqJOCCLWydvLM
185,show,do,GV8eZkGg,3,WNW,W,S,83,1,False,,83.0,GguqJOCCLWydvLM
186,show,do,GV8eZkGg,4,NSW,S,S,21,1,True,21.0,,GguqJOCCLWydvLM
187,show,do,GV8eZkGg,5,WNS,W,S,31,1,False,,31.0,GguqJOCCLWydvLM
188,show,do,GV8eZkGg,6,SNW,S,S,57,1,True,57.0,,GguqJOCCLWydvLM
189,show,do,GV8eZkGg,7,WNW,S,W,40,1,False,,40.0,GguqJOCCLWydvLM
190,show,do,GV8eZkGg,8,SWN,W,S,66,1,False,,66.0,GguqJOCCLWydvLM
191,show,do,GV8eZkGg,9,NSW,W,W,92,1,True,92.0,,GguqJOCCLWydvLM
192,show,show,e0IngydB,0,NWS,W,W,100,2,True,100.0,,RhWWRQhKLlPMBrF
193,show,show,e0IngydB,1,SWN,S,S,100,2,True,100.0,,RhWWRQhKLlPMBrF
194,show,show,e0IngydB,10,WNS,W,W,100,2,True,100.0,,RhWWRQhKLlPMBrF
195,show,show,e0IngydB,11,NSW,S,S,100,1,True,100.0,,RhWWRQhKLlPMBrF
196,show,show,e0IngydB,12,WNW,W,S,100,1,False,,100.0,RhWWRQhKLlPMBrF
197,show,show,e0IngydB,13,WNS,S,S,100,1,True,100.0,,RhWWRQhKLlPMBrF
198,show,show,e0IngydB,14,WSN,W,S,33,2,False,,33.0,RhWWRQhKLlPMBrF
199,show,show,e0IngydB,15,WSN,S,S,100,1,True,100.0,,RhWWRQhKLlPMBrF
200,show,show,e0IngydB,2,SNW,W,W,100,1,True,100.0,,RhWWRQhKLlPMBrF
201,show,show,e0IngydB,3,NWS,S,W,100,1,False,,100.0,RhWWRQhKLlPMBrF
202,show,show,e0IngydB,4,SNS,W,W,100,1,True,100.0,,RhWWRQhKLlPMBrF
203,show,show,e0IngydB,5,SNS,S,W,100,1,False,,100.0,RhWWRQhKLlPMBrF
204,show,show,e0IngydB,6,NSW,W,W,100,1,True,100.0,,RhWWRQhKLlPMBrF
205,show,show,e0IngydB,7,SWN,W,S,100,1,False,,100.0,RhWWRQhKLlPMBrF
206,show,show,e0IngydB,8,WNW,S,W,100,1,False,,100.0,RhWWRQhKLlPMBrF
207,show,show,e0IngydB,9,SNW,S,S,100,1,True,100.0,,RhWWRQhKLlPMBrF
208,show,show,e0IngydB,0,NWS,W,W,100,1,True,100.0,,VflTRGrrquGKfeu
209,show,show,e0IngydB,1,SWN,S,S,79,1,True,79.0,,VflTRGrrquGKfeu
210,show,show,e0IngydB,10,WNS,W,W,53,1,True,53.0,,VflTRGrrquGKfeu
211,show,show,e0IngydB,11,NSW,S,S,90,1,True,90.0,,VflTRGrrquGKfeu
212,show,show,e0IngydB,12,WNW,W,S,90,1,False,,90.0,VflTRGrrquGKfeu
213,show,show,e0IngydB,13,WNS,S,S,87,1,True,87.0,,VflTRGrrquGKfeu
214,show,show,e0IngydB,14,WSN,W,S,52,1,False,,52.0,VflTRGrrquGKfeu
215,show,show,e0IngydB,15,WSN,S,S,91,1,True,91.0,,VflTRGrrquGKfeu
216,show,show,e0IngydB,2,SNW,W,W,55,1,True,55.0,,VflTRGrrquGKfeu
217,show,show,e0IngydB,3,NWS,S,W,56,1,False,,56.0,VflTRGrrquGKfeu
218,show,show,e0IngydB,4,SNS,W,W,51,1,True,51.0,,VflTRGrrquGKfeu
219,show,show,e0IngydB,5,SNS,S,W,53,1,False,,53.0,VflTRGrrquGKfeu
220,show,show,e0IngydB,6,NSW,W,W,52,1,True,52.0,,VflTRGrrquGKfeu
221,show,show,e0IngydB,7,SWN,W,S,90,1,False,,90.0,VflTRGrrquGKfeu
222,show,show,e0IngydB,8,WNW,S,W,54,1,False,,54.0,VflTRGrrquGKfeu
223,show,show,e0IngydB,9,SNW,S,S,89,1,True,89.0,,VflTRGrrquGKfeu
224,do,show,e0IngydB,0,NWS,W,S,67,2,False,,67.0,ftxCoGtOzCZVTWM
225,do,show,e0IngydB,1,SWN,S,S,70,2,True,70.0,,ftxCoGtOzCZVTWM
226,do,show,e0IngydB,10,WNS,W,W,63,2,True,63.0,,ftxCoGtOzCZVTWM
227,do,show,e0IngydB,11,NSW,S,S,69,1,True,69.0,,ftxCoGtOzCZVTWM
228,do,show,e0IngydB,12,WNW,W,S,61,1,False,,61.0,ftxCoGtOzCZVTWM
229,do,show,e0IngydB,13,WNS,S,S,59,1,True,59.0,,ftxCoGtOzCZVTWM
230,do,show,e0IngydB,14,WSN,W,W,61,1,True,61.0,,ftxCoGtOzCZVTWM
231,do,show,e0IngydB,15,WSN,S,S,66,1,True,66.0,,ftxCoGtOzCZVTWM
232,do,show,e0IngydB,2,SNW,W,W,71,2,True,71.0,,ftxCoGtOzCZVTWM
233,do,show,e0IngydB,3,NWS,S,W,69,2,False,,69.0,ftxCoGtOzCZVTWM
234,do,show,e0IngydB,4,SNS,W,W,73,1,True,73.0,,ftxCoGtOzCZVTWM
235,do,show,e0IngydB,5,SNS,S,S,58,3,True,58.0,,ftxCoGtOzCZVTWM
236,do,show,e0IngydB,6,NSW,W,S,55,2,False,,55.0,ftxCoGtOzCZVTWM
237,do,show,e0IngydB,7,SWN,W,S,66,2,False,,66.0,ftxCoGtOzCZVTWM
238,do,show,e0IngydB,8,WNW,S,S,60,3,True,60.0,,ftxCoGtOzCZVTWM
239,do,show,e0IngydB,9,SNW,S,S,64,1,True,64.0,,ftxCoGtOzCZVTWM
240,do,show,e0IngydB,0,NWS,W,W,100,1,True,100.0,,RilLtCfxIURCaAF
241,do,show,e0IngydB,1,SWN,S,S,70,1,True,70.0,,RilLtCfxIURCaAF
242,do,show,e0IngydB,10,WNS,W,W,69,1,True,69.0,,RilLtCfxIURCaAF
243,do,show,e0IngydB,11,NSW,S,S,68,1,True,68.0,,RilLtCfxIURCaAF
244,do,show,e0IngydB,12,WNW,W,S,72,1,False,,72.0,RilLtCfxIURCaAF
245,do,show,e0IngydB,13,WNS,S,S,69,1,True,69.0,,RilLtCfxIURCaAF
246,do,show,e0IngydB,14,WSN,W,S,66,1,False,,66.0,RilLtCfxIURCaAF
247,do,show,e0IngydB,15,WSN,S,S,69,1,True,69.0,,RilLtCfxIURCaAF
248,do,show,e0IngydB,2,SNW,W,W,71,1,True,71.0,,RilLtCfxIURCaAF
249,do,show,e0IngydB,3,NWS,S,W,67,1,False,,67.0,RilLtCfxIURCaAF
250,do,show,e0IngydB,4,SNS,W,W,72,1,True,72.0,,RilLtCfxIURCaAF
251,do,show,e0IngydB,5,SNS,S,W,74,1,False,,74.0,RilLtCfxIURCaAF
252,do,show,e0IngydB,6,NSW,W,W,71,1,True,71.0,,RilLtCfxIURCaAF
253,do,show,e0IngydB,7,SWN,W,S,75,1,False,,75.0,RilLtCfxIURCaAF
254,do,show,e0IngydB,8,WNW,S,W,71,1,False,,71.0,RilLtCfxIURCaAF
255,do,show,e0IngydB,9,SNW,S,S,70,1,True,70.0,,RilLtCfxIURCaAF
256,show,show,DD0s3t9T,0,NSW,W,W,77,1,True,77.0,,nIEfuSJbKkOmSra
257,show,show,DD0s3t9T,1,WSN,W,S,89,1,False,,89.0,nIEfuSJbKkOmSra
258,show,show,DD0s3t9T,10,SNS,W,W,74,1,True,74.0,,nIEfuSJbKkOmSra
259,show,show,DD0s3t9T,11,SWN,W,S,73,1,False,,73.0,nIEfuSJbKkOmSra
260,show,show,DD0s3t9T,12,NSW,S,S,68,1,True,68.0,,nIEfuSJbKkOmSra
261,show,show,DD0s3t9T,13,SNW,W,W,63,1,True,63.0,,nIEfuSJbKkOmSra
262,show,show,DD0s3t9T,14,WSN,S,S,59,1,True,59.0,,nIEfuSJbKkOmSra
263,show,show,DD0s3t9T,15,WNS,S,S,66,1,True,66.0,,nIEfuSJbKkOmSra
264,show,show,DD0s3t9T,2,WNW,S,W,95,1,False,,95.0,nIEfuSJbKkOmSra
265,show,show,DD0s3t9T,3,SWN,S,S,85,1,True,85.0,,nIEfuSJbKkOmSra
266,show,show,DD0s3t9T,4,WNW,W,S,90,1,False,,90.0,nIEfuSJbKkOmSra
267,show,show,DD0s3t9T,5,NWS,W,W,65,1,True,65.0,,nIEfuSJbKkOmSra
268,show,show,DD0s3t9T,6,NWS,S,W,77,1,False,,77.0,nIEfuSJbKkOmSra
269,show,show,DD0s3t9T,7,WNS,W,W,78,1,True,78.0,,nIEfuSJbKkOmSra
270,show,show,DD0s3t9T,8,SNS,S,W,70,1,False,,70.0,nIEfuSJbKkOmSra
271,show,show,DD0s3t9T,9,SNW,S,S,87,1,True,87.0,,nIEfuSJbKkOmSra
