,cond,grid,tf,participant,round,b.target,b2.target,b2j.target,b2j.com
0,do,NSW,S,015iRjPo,3.0,0.9973968894693177,0.999999951060195,0.9990819588666702,0.647341347303563
1,do,NSW,W,015iRjPo,15.0,0.9719617351067439,0.9999999885289128,0.9755790009013083,0.12901180897752956
2,do,NWS,S,015iRjPo,9.0,0.9713826145193271,0.9999999955068206,0.985531029794077,0.4943993750138513
3,do,NWS,W,015iRjPo,10.0,0.8532300761108637,0.9976932165115083,0.8532505241838665,0.0001417138650419157
4,do,SNS,S,015iRjPo,7.0,0.250014565550094,0.004257554264487741,0.1443916663502291,0.42978590375643577
5,do,SNS,W,015iRjPo,5.0,0.7499854344499061,0.9957424457355122,0.8556083336497708,0.42978590375643577
6,do,SNW,S,015iRjPo,6.0,0.750067514120083,0.9987378327598493,0.8567936979285822,0.4291874655258187
7,do,SNW,W,015iRjPo,2.0,0.7499855186946263,0.4666049618483443,0.7482684271329738,0.006059313245629324
8,do,SWN,S,015iRjPo,12.0,0.8156733425130591,0.9999900292325886,0.8506629311417527,0.18983407987328096
9,do,SWN,W,015iRjPo,4.0,0.25207059801310616,0.0026801750411368118,0.2500573813364142,0.008072550071091865
10,do,WNS,S,015iRjPo,0.0,0.7500674294117508,0.0202414010804063,0.7285776003692459,0.029445139263720808
11,do,WNS,W,015iRjPo,8.0,0.7499856034214666,0.9999411192602877,0.7607861759345155,0.04320997869082209
12,do,WNW,S,015iRjPo,13.0,0.25001439631399025,0.0002645589574637821,0.19894349370032066,0.20448823172110459
13,do,WNW,W,015iRjPo,11.0,0.24993257100367058,0.9409744741412328,0.39515803929578386,0.21015435913906355
14,do,WSN,S,015iRjPo,1.0,0.7506652733690621,0.9602657456925998,0.7525720304993914,0.009097103213517805
15,do,WSN,W,015iRjPo,14.0,0.9597323913137084,0.9999999218443818,0.9989463761737972,0.9741179416292872
16,do,NSW,S,1xKGqkve,12.0,0.9973968894693177,0.9999999510110106,0.9990819588755679,0.6473413629530581
