,teacher_inst,teacher_id,learner_inst,workerid,rf,color,safe_dangerous,confidence,true_value,correct,correct_confidence,incorrect_confidence,n_safe_colors,safe,match_inst,b_orange_cor,b_purple_cor,b_blue_cor,b2_orange_cor,b2_purple_cor,b2_blue_cor,b2j_orange_cor,b2j_purple_cor,b2j_blue_cor,obs_type_pred,b_pred,b2_pred,b2j_pred
0,showing,s_50,showing,L_0,xoo,blue,safe,100,safe,True,100.0,,2,True,showing-showing,0.9965790723398867,0.998002328469276,0.9998538799359105,0.9999999969725075,0.999597086880063,0.9999952182295966,0.9984007500738087,0.9985543724689029,0.999902378018929,0.9999952182295966,0.9998538799359105,0.9999952182295966,0.999902378018929
1,showing,s_18,doing,L_6,xoo,blue,safe,63,safe,True,63.0,,2,True,showing-doing,0.9965790723398867,0.998002328469276,0.9998538799359105,0.9999999969725075,0.999597086880063,0.9999952182295966,0.9984007500738087,0.9985543724689029,0.999902378018929,0.9998538799359105,0.9998538799359105,0.9999952182295966,0.999902378018929
2,showing,s_28,doing,L_13,xoo,blue,safe,100,safe,True,100.0,,2,True,showing-doing,0.9965790723398867,0.998002328469276,0.9998538799359105,0.9999999969725075,0.999597086880063,0.9999952182295966,0.9984007500738087,0.9985543724689029,0.999902378018929,0.9998538799359105,0.9998538799359105,0.9999952182295966,0.999902378018929
3,showing,s_51,showing,L_34,xoo,blue,safe,100,safe,True,100.0,,2,True,showing-showing,0.9965790723398867,0.998002328469276,0.9998538799359105,0.9999999969725075,0.999597086880063,0.9999952182295966,0.9984007500738087,0.9985543724689029,0.999902378018929,0.9999952182295966,0.9998538799359105,0.9999952182295966,0.999902378018929
4,showing,s_39,doing,L_42,xoo,blue,safe,58,safe,True,58.0,,2,True,showing-doing,0.9965790723398867,0.998002328469276,0.9998538799359105,0.9999999969725075,0.999597086880063,0.9999952182295966,0.9984007500738087,0.9985543724689029,0.999902378018929,0.9998538799359105,0.9998538799359105,0.9999952182295966,0.999902378018929
5,showing,s_6,showing,L_113,xoo,blue,safe,90,safe,True,90.0,,2,True,showing-showing,0.9965790723398867,0.998002328469276,0.9998538799359105,0.9999999969725075,0.999597086880063,0.9999952182295966,0.9984007500738087,0.9985543724689029,0.999902378018929,0.9999952182295966,0.9998538799359105,0.9999952182295966,0.999902378018929
6,showing,s_49,doing,L_140,xoo,blue,safe,100,safe,True,100.0,,2,True,showing-doing,0.9965790723398867,0.998002328469276,0.9998538799359105,0.9999999969725075,0.999597086880063,0.9999952182295966,0.9984007500738087,0.9985543724689029,0.999902378018929,0.9998538799359105,0.9998538799359105,0.9999952182295966,0.999902378018929
7,showing,s_7,doing,L_155,xoo,blue,safe,75,safe,True,75.0,,2,True,showing-doing,0.9965790723398867,0.998002328469276,0.9998538799359105,0.9999999969725075,0.999597086880063,0.9999952182295966,0.9984007500738087,0.9985543724689029,0.999902378018929,0.9998538799359105,0.9998538799359105,0.9999952182295966,0.999902378018929
8,showing,s_7,doing,L_228,xoo,blue,safe,94,safe,True,94.0,,2,True,showing-doing,0.9965790723398867,0.998002328469276,0.9998538799359105,0.9999999969725075,0.999597086880063,0.9999952182295966,0.9984007500738087,0.9985543724689029,0.999902378018929,0.9998538799359105,0.9998538799359105,0.9999952182295966,0.999902378018929
9,showing,s_2,showing,L_229,xoo,blue,safe,78,safe,True,78.0,,2,True,showing-showing,0.9965790723398867,0.998002328469276,0.9998538799359105,0.9999999969725075,0.999597086880063,0.9999952182295966,0.9984007500738087,0.9985543724689029,0.999902378018929,0.9999952182295966,0.9998538799359105,0.9999952182295966,0.999902378018929
10,showing,s_17,showing,L_258,xoo,blue,safe,100,safe,True,100.0,,2,True,showing-showing,0.9965790723398867,0.998002328469276,0.9998538799359105,0.9999999969725075,0.999597086880063,0.9999952182295966,0.9984007500738087,0.9985543724689029,0.999902378018929,0.9999952182295966,0.9998538799359105,0.9999952182295966,0.999902378018929
11,showing,s_53,doing,L_308,xoo,blue,safe,100,safe,True,100.0,,2,True,showing-doing,0.9965790723398867,0.998002328469276,0.9998538799359105,0.9999999969725075,0.999597086880063,0.9999952182295966,0.9984007500738087,0.9985543724689029,0.999902378018929,0.9998538799359105,0.9998538799359105,0.9999952182295966,0.999902378018929
12,showing,s_31,showing,L_329,xoo,blue,safe,100,safe,True,100.0,,2,True,showing-showing,0.9965790723398867,0.998002328469276,0.9998538799359105,0.9999999969725075,0.999597086880063,0.9999952182295966,0.9984007500738087,0.9985543724689029,0.999902378018929,0.9999952182295966,0.9998538799359105,0.9999952182295966,0.999902378018929
13,showing,s_45,doing,L_334,xoo,blue,safe,29,safe,True,29.0,,2,True,showing-doing,0.9965790723398867,0.998002328469276,0.9998538799359105,0.9999999969725075,0.999597086880063,0.9999952182295966,0.9984007500738087,0.9985543724689029,0.999902378018929,0.9998538799359105,0.9998538799359105,0.9999952182295966,0.999902378018929
14,showing,s_0,showing,L_352,xoo,blue,safe,81,safe,True,81.0,,2,True,showing-showing,0.9965790723398867,0.998002328469276,0.9998538799359105,0.9999999969725075,0.999597086880063,0.9999952182295966,0.9984007500738087,0.9985543724689029,0.999902378018929,0.9999952182295966,0.9998538799359105,0.9999952182295966,0.999902378018929
15,showing,s_28,doing,L_393,xoo,blue,safe,100,safe,True,100.0,,2,True,showing-doing,0.9965790723398867,0.998002328469276,0.9998538799359105,0.9999999969725075,0.999597086880063,0.9999952182295966,0.9984007500738087,0.9985543724689029,0.999902378018929,0.9998538799359105,0.9998538799359105,0.9999952182295966,0.999902378018929
