,cond,mdp_code,participant,uncertain_prop,unknown_color_ent,dem_len,avg_revisit
0,do,ooo,S1,0.8,1.5,5.0,0.0
1,do,ooo,S10,0.8,1.5,5.0,0.0
2,do,ooo,S11,0.8,1.5,5.0,0.0
3,do,ooo,S14,0.8,1.5,5.0,0.0
4,do,ooo,S15,0.8,1.5,5.0,0.0
5,do,ooo,S22,0.8,1.5,5.0,0.0
6,do,ooo,S27,0.8,1.5,5.0,0.0
7,do,ooo,S29,0.4444444444444444,-0.0,9.0,0.0
8,do,ooo,S3,0.8,1.5,5.0,0.0
9,do,ooo,S30,0.8,1.5,5.0,0.0
10,do,ooo,S32,0.8,1.5,5.0,0.0
11,do,ooo,S33,0.8,1.5,5.0,0.0
12,do,ooo,S34,0.8,1.5,5.0,0.0
13,do,ooo,S36,0.8,1.5,5.0,0.0
14,do,ooo,S37,0.8,1.5,5.0,0.0
15,do,ooo,S38,0.8,1.5,5.0,0.0
16,do,ooo,S40,0.8,1.5,5.0,0.0
17,do,ooo,S41,0.8,1.5,5.0,0.0
18,do,ooo,S42,0.8,1.5,5.0,0.0
19,do,ooo,S44,0.8,1.5,5.0,0.0
20,do,ooo,S47,0.8,1.5,5.0,0.0
21,do,ooo,S48,0.8,1.5,5.0,0.0
22,do,ooo,S5,0.8,1.5,5.0,0.0
23,do,ooo,S52,0.8,1.5,5.0,0.0
24,do,ooo,S54,0.4444444444444444,-0.0,9.0,0.0
25,do,ooo,S56,0.8,1.5,5.0,0.0
26,do,ooo,S57,0.8,1.5,5.0,0.0
27,do,ooo,S8,0.4444444444444444,-0.0,9.0,0.0
28,do,ooo,S9,0.4444444444444444,-0.0,9.0,0.0
29,do,oox,S1,0.7142857142857143,0.7219280948873623,7.0,0.0
30,do,oox,S10,0.7142857142857143,0.7219280948873623,7.0,0.0
31,do,oox,S11,0.5714285714285714,0.8112781244591328,7.0,0.0
32,do,oox,S14,0.7142857142857143,0.7219280948873623,7.0,0.0
33,do,oox,S15,0.5714285714285714,0.8112781244591328,7.0,0.0
34,do,oox,S22,0.5714285714285714,0.8112781244591328,7.0,0.0
35,do,oox,S27,0.7142857142857143,0.7219280948873623,7.0,0.0
36,do,oox,S29,0.5714285714285714,0.8112781244591328,7.0,0.0
37,do,oox,S3,0.4444444444444444,-0.0,9.0,0.0
38,do,oox,S30,0.6666666666666666,0.6500224216483541,9.0,0.2857142857142857
39,do,oox,S32,0.7142857142857143,0.7219280948873623,7.0,0.0
40,do,oox,S33,0.7142857142857143,0.7219280948873623,7.0,0.0
41,do,oox,S34,0.5714285714285714,0.8112781244591328,7.0,0.0
42,do,oox,S36,0.5714285714285714,0.8112781244591328,7.0,0.0
43,do,oox,S37,0.7142857142857143,0.7219280948873623,7.0,0.0
44,do,oox,S38,0.8,1.5,5.0,0.0
45,do,oox,S40,0.5714285714285714,0.8112781244591328,7.0,0.0
46,do,oox,S41,0.5714285714285714,0.8112781244591328,7.0,0.0
47,do,oox,S42,0.7142857142857143,0.7219280948873623,7.0,0.0
48,do,oox,S44,0.7142857142857143,0.7219280948873623,7.0,0.0
49,do,oox,S47,0.5714285714285714,0.8112781244591328,7.0,0.0
50,do,oox,S48,0.7142857142857143,0.7219280948873623,7.0,0.0
51,do,oox,S5,0.7142857142857143,0.7219280948873623,7.0,0.0
52,do,oox,S52,0.6666666666666666,-0.0,9.0,0.0
53,do,oox,S54,0.4444444444444444,-0.0,9.0,0.0
54,do,oox,S56,0.5714285714285714,0.8112781244591328,7.0,0.0
55,do,oox,S57,0.5714285714285714,0.8112781244591328,7.0,0.0
56,do,oox,S8,0.4444444444444444,-0.0,9.0,0.0
57,do,oox,S9,0.4444444444444444,-0.0,9.0,0.0
58,do,oxo,S1,0.4444444444444444,-0.0,9.0,0.0
59,do,oxo,S10,0.6666666666666666,-0.0,9.0,0.0
