,cond,mdp_code,participant,final_btarg,final_b2targ,final_b2jtarg,b2j_com
101,do,oxx,S37,0.7440323394678708,0.9999999947995268,0.8290411594606453,0.33210766369144984
102,do,oxx,S38,4.994319230108804e-05,7.64488044314087e-05,5.0376279938746595e-05,0.016339469374606376
103,do,oxx,S40,1.779381179737361e-07,3.958066911056001e-09,1.1091878342495198e-07,0.3852127536428814
104,do,oxx,S41,0.5941559654317835,0.999179358534478,0.5942938867205547,0.00034052672295012203
105,do,oxx,S42,0.833118642189863,0.9999996816155529,0.8928037446773597,0.35765059166037677
106,do,oxx,S44,0.5941559654317835,0.999179358534478,0.5942938867205547,0.00034052672295012203
107,do,oxx,S47,0.5941559654317835,0.999179358534478,0.5942938867205547,0.00034052672295012203
108,do,oxx,S48,0.5941559654317835,0.999179358534478,0.5942938867205547,0.00034052672295012203
109,do,oxx,S5,0.7440323394678708,0.9999999947995268,0.8290411594606453,0.33210766369144984
110,do,oxx,S52,0.5941559654317835,0.999179358534478,0.5942938867205547,0.00034052672295012203
111,do,oxx,S54,0.5941559654317835,0.999179358534478,0.5942938867205547,0.00034052672295012203
112,do,oxx,S56,0.5941559654317835,0.999179358534478,0.5942938867205547,0.00034052672295012203
113,do,oxx,S57,0.5941559654317835,0.999179358534478,0.5942938867205547,0.00034052672295012203
114,do,oxx,S8,0.5941559654317835,0.999179358534478,0.5942938867205547,0.00034052672295012203
115,do,oxx,S9,0.5941559654317835,0.999179358534478,0.5942938867205547,0.00034052672295012203
116,do,xoo,S1,0.18013143157392605,2.8715019889839523e-07,0.1107426174136186,0.3852127536428814
117,do,xoo,S10,0.01007002018340051,1.6259299078830822e-06,0.009905507963844104,0.016339469374606376
118,do,xoo,S11,0.18037985820401362,2.4849754598665206e-07,0.10262955042310558,0.4310371216981313
119,do,xoo,S14,0.18013143157392605,2.8715019889839523e-07,0.1107426174136186,0.3852127536428814
120,do,xoo,S15,0.18013143157392605,2.8715019889839523e-07,0.1107426174136186,0.3852127536428814
121,do,xoo,S22,0.18038000994518433,2.4847768789634253e-07,0.10262606504403028,0.43105690095069343
122,do,xoo,S27,0.1803797886292056,2.485174996822372e-07,0.10263308286739556,0.43101731889139355
123,do,xoo,S29,0.18038000994518433,2.4847768789634253e-07,0.10262606504403028,0.43105690095069343
124,do,xoo,S3,0.18013143157392605,2.8715019889839523e-07,0.1107426174136186,0.3852127536428814
125,do,xoo,S30,0.18037985820401362,2.4849754598665206e-07,0.10262955042310558,0.4310371216981313
126,do,xoo,S32,0.18013143157392605,2.8715019889839523e-07,0.1107426174136186,0.3852127536428814
127,do,xoo,S33,0.18038000994518433,2.4847768789634253e-07,0.10262606504403028,0.43105690095069343
128,do,xoo,S34,0.18013143157392605,2.8715019889839523e-07,0.1107426174136186,0.3852127536428814
129,do,xoo,S36,0.18013143157392605,2.8715019889839523e-07,0.1107426174136186,0.3852127536428814
