,cond,participant,mdp_code,obs_model-color,belief,obs_model
0,do,S1,ooo,b_orange_cor,0.5848988815142526,b
1,do,S10,ooo,b_orange_cor,0.5848988815142526,b
2,do,S11,ooo,b_orange_cor,0.5848988815142526,b
3,do,S14,ooo,b_orange_cor,0.5848988815142526,b
4,do,S15,ooo,b_orange_cor,0.5848988815142526,b
5,do,S22,ooo,b_orange_cor,0.5848988815142526,b
6,do,S27,ooo,b_orange_cor,0.5848988815142526,b
7,do,S29,ooo,b_orange_cor,0.9976887080533692,b
8,do,S3,ooo,b_orange_cor,0.5848988815142526,b
9,do,S30,ooo,b_orange_cor,0.5848988815142526,b
10,do,S32,ooo,b_orange_cor,0.5848988815142526,b
11,do,S33,ooo,b_orange_cor,0.5848988815142526,b
12,do,S34,ooo,b_orange_cor,0.5848988815142526,b
13,do,S36,ooo,b_orange_cor,0.5848988815142526,b
14,do,S37,ooo,b_orange_cor,0.5848988815142526,b
15,do,S38,ooo,b_orange_cor,0.5848988815142526,b
16,do,S40,ooo,b_orange_cor,0.5848988815142526,b
17,do,S41,ooo,b_orange_cor,0.5848988815142526,b
18,do,S42,ooo,b_orange_cor,0.5848988815142526,b
19,do,S44,ooo,b_orange_cor,0.5848988815142526,b
20,do,S47,ooo,b_orange_cor,0.5848988815142526,b
21,do,S48,ooo,b_orange_cor,0.5848988815142526,b
22,do,S5,ooo,b_orange_cor,0.5848988815142526,b
23,do,S52,ooo,b_orange_cor,0.5848988815142526,b
24,do,S54,ooo,b_orange_cor,0.9976887080533692,b
25,do,S56,ooo,b_orange_cor,0.5848988815142526,b
26,do,S57,ooo,b_orange_cor,0.5848988815142526,b
27,do,S8,ooo,b_orange_cor,0.9976887080533692,b
28,do,S9,ooo,b_orange_cor,0.9976887080533692,b
29,do,S1,oox,b_orange_cor,0.6441784722508287,b
30,do,S10,oox,b_orange_cor,0.6441784722508287,b
31,do,S11,oox,b_orange_cor,0.3649645479789977,b
32,do,S14,oox,b_orange_cor,0.6441784722508287,b
33,do,S15,oox,b_orange_cor,0.3649645479789977,b
34,do,S22,oox,b_orange_cor,0.3649645479789977,b
35,do,S27,oox,b_orange_cor,0.6441784722508287,b
36,do,S29,oox,b_orange_cor,0.3649645479789977,b
37,do,S3,oox,b_orange_cor,0.9976887080533692,b
38,do,S30,oox,b_orange_cor,0.643464449289149,b
39,do,S32,oox,b_orange_cor,0.6441784722508287,b
40,do,S33,oox,b_orange_cor,0.6441784722508287,b
41,do,S34,oox,b_orange_cor,0.3649645479789977,b
42,do,S36,oox,b_orange_cor,0.3649645479789977,b
43,do,S37,oox,b_orange_cor,0.6441784722508287,b
44,do,S38,oox,b_orange_cor,0.5848988815142526,b
45,do,S40,oox,b_orange_cor,0.3649645479789977,b
46,do,S41,oox,b_orange_cor,0.3649645479789977,b
47,do,S42,oox,b_orange_cor,0.6441784722508287,b
48,do,S44,oox,b_orange_cor,0.6441784722508287,b
49,do,S47,oox,b_orange_cor,0.3649645479789977,b
50,do,S48,oox,b_orange_cor,0.6441784722508287,b
51,do,S5,oox,b_orange_cor,0.6441784722508287,b
52,do,S52,oox,b_orange_cor,0.9998325696831232,b
53,do,S54,oox,b_orange_cor,0.9976887080533692,b
54,do,S56,oox,b_orange_cor,0.3649645479789977,b
55,do,S57,oox,b_orange_cor,0.3649645479789977,b
56,do,S8,oox,b_orange_cor,0.9976887080533692,b
57,do,S9,oox,b_orange_cor,0.9976887080533692,b
58,do,S1,oxo,b_orange_cor,0.9976887080533692,b
